arg1,arg2,defeater
"[(a_8-<a_0,d_9),d_9,a_0]","[(~a_8-<d_11,a_0,d_9),d_9,a_0,d_11]","[(~a_8-<d_11,a_0,d_9),d_9,a_0,d_11]"
"[(a_8-< ~d_10,a_0),a_0,~d_10]","[(~a_8-< ~d_10,a_0,~d_12),~d_12,a_0,~d_10]","[(~a_8-< ~d_10,a_0,~d_12),~d_12,a_0,~d_10]"
"[(~a_8-<a_5),(a_5-<a_0),a_0]","[(a_8-<a_0,d_9),d_9,a_0]","[(a_8-<a_0,d_9),d_9,a_0]"
"[(~a_8-<a_5),(a_5-<a_0),a_0]","[(a_8-< ~d_10,a_0),a_0,~d_10]","[(a_8-< ~d_10,a_0),a_0,~d_10]"
"[(~a_7-<a_5,~d_13),~d_13,(a_5-<a_0),a_0]","[(a_7-<a_5,d_15,~d_13),~d_13,d_15,(a_5-<a_0),a_0]","[(a_7-<a_5,d_15,~d_13),~d_13,d_15,(a_5-<a_0),a_0]"
"[(~a_7-<a_5,d_14),d_14,(a_5-<a_0),a_0]","[(a_7-<a_5,d_14,d_16),d_16,d_14,(a_5-<a_0),a_0]","[(a_7-<a_5,d_14,d_16),d_16,d_14,(a_5-<a_0),a_0]"
"[(a_7-<a_5),(a_5-<a_0),a_0]","[(~a_7-<a_5,~d_13),~d_13,(a_5-<a_0),a_0]","[(~a_7-<a_5,~d_13),~d_13,(a_5-<a_0),a_0]"
"[(a_7-<a_5),(a_5-<a_0),a_0]","[(~a_7-<a_5,d_14),d_14,(a_5-<a_0),a_0]","[(~a_7-<a_5,d_14),d_14,(a_5-<a_0),a_0]"
arg1,arg2,defeater
"[(a_8-<a_6,d_9),d_9,(a_6-<a_2),a_2]","[(~a_8-<d_11,a_6,d_9),d_9,(a_6-<a_2),a_2,d_11]","[(~a_8-<d_11,a_6,d_9),d_9,(a_6-<a_2),a_2,d_11]"
"[(a_8-<d_10,a_6),(a_6-<a_2),a_2,d_10]","[(~a_8-<d_10,d_12,a_6),(a_6-<a_2),a_2,d_12,d_10]","[(~a_8-<d_10,d_12,a_6),(a_6-<a_2),a_2,d_12,d_10]"
"[(~a_8-<a_6),(a_6-<a_2),a_2]","[(a_8-<a_6,d_9),d_9,(a_6-<a_2),a_2]","[(a_8-<a_6,d_9),d_9,(a_6-<a_2),a_2]"
"[(~a_8-<a_6),(a_6-<a_2),a_2]","[(a_8-<d_10,a_6),(a_6-<a_2),a_2,d_10]","[(a_8-<d_10,a_6),(a_6-<a_2),a_2,d_10]"
